url,Extract Method,Move Field,Inline Method,Move Method,Pull Up Method,Pull Up Field,Extract Superclass,Extract Interface,Push Down Method,Push Down Field,total refactoring types
https://github.com/facebook/facebook-android-sdk/commit/6b3344a96dc9589de56f7a1bb179162b780d7004,0,0,0,0,0,0,0,0,0,0,1
https://github.com/facebook/facebook-android-sdk/commit/03d8ba6e9dc5383cdc20d217cb5413d6e6ca69b1,0,0,0,0,0,0,0,0,0,0,3
https://github.com/facebook/facebook-android-sdk/commit/a911b920b1eb0f7c1f38c42e0f4a52ca10d7b772,0,0,0,0,0,0,0,0,0,0,1
https://github.com/facebook/facebook-android-sdk/commit/8b68daf72c77d1a7970586bb05def28f5c2ea48a,0,0,0,0,0,0,0,0,0,0,1
https://github.com/facebook/facebook-android-sdk/commit/b48ac0d1339e198cc9d8f5e8b815da4363c6f7b0,0,0,0,0,0,0,0,0,0,0,2
https://github.com/facebook/facebook-android-sdk/commit/28642788ceab1116dabe2363f225022da904f701,0,0,0,0,0,0,0,0,0,0,1
https://github.com/facebook/facebook-android-sdk/commit/a3c59c25a79eec6e6bca6f5b2525b888800206c4,0,0,0,0,0,0,0,0,0,0,2
https://github.com/facebook/facebook-android-sdk/commit/0dc1fa9689861c7f3629e4de29194235d1a6e70d,0,0,0,0,0,0,0,0,0,0,2
https://github.com/facebook/facebook-android-sdk/commit/86ba775b20170c3f027290fd8c88899edff199de,0,0,0,0,0,0,0,0,0,0,1
https://github.com/facebook/facebook-android-sdk/commit/32004996c897972d129ae75cdcaa249fbff6ca41,0,0,0,0,0,0,0,0,0,0,1
https://github.com/facebook/facebook-android-sdk/commit/07b03d41b111b3359fad3369200c4977b3042856,0,0,0,0,0,0,0,0,0,0,1
https://github.com/facebook/facebook-android-sdk/commit/5d54a593fe0957c97b072632be91ad16ff7d0971,0,0,0,0,0,0,0,0,0,0,1
https://github.com/facebook/facebook-android-sdk/commit/7a662f276900dddbcf9ca669d8439fa12e355c78,0,0,0,0,0,0,0,0,0,0,2
https://github.com/facebook/facebook-android-sdk/commit/5fa2bd72aa54cf691a2d2dc5f92ef23375a5c303,1,0,0,0,0,0,0,0,0,0,1
https://github.com/facebook/facebook-android-sdk/commit/cca26b9cacb39688745f5151e80148747dcf8323,0,0,0,0,0,0,0,0,0,0,1
https://github.com/facebook/facebook-android-sdk/commit/6bd30a9b0aca4b9bcdbab873e14d065193bd5889,0,0,0,0,0,0,0,0,0,0,1
https://github.com/facebook/facebook-android-sdk/commit/0744e68caf2c55dc64cebaea4e9a26a05cdffaa3,0,0,0,0,0,0,0,0,0,0,2
https://github.com/facebook/facebook-android-sdk/commit/1934722547ec7ca850d7f7d7f86f9081bcd14235,0,0,0,0,0,0,0,0,0,0,1
https://github.com/facebook/facebook-android-sdk/commit/4d2fe17c9076ee971797f1301754f71bfaa0064f,0,0,0,0,0,0,0,0,0,0,1
https://github.com/facebook/facebook-android-sdk/commit/6b714cd234955fde46f902d64dd1534ca327ac45,0,0,0,0,0,0,0,0,0,0,1
https://github.com/facebook/facebook-android-sdk/commit/2f5a0394f116fb3d53ee0c5ad829c0ba48728b63,0,0,0,0,0,0,0,0,0,0,1
